@@,itemlabel,item,startdate,enddate
+++,Abel Guerra Garza,Q4666566,2012-09-01,2015-08-31
+++,Abel Salgado Peña,Q16213752,2012-09-01,2015-08-31
+++,Abraham Montes Alvarado,,2012-09-01,2015-08-31
+++,Adolfo Bonilla Gómez,,2012-09-01,2015-08-31
+++,Adolfo Orive Bellinger,Q5658088,2012-09-01,2015-08-31
+++,Adriana Fuentes Téllez,Q16195540,2012-09-01,2015-08-31
+++,Adriana González Carrillo,Q5658341,2012-09-01,2015-08-31
+++,Adriana Hernández Íñiguez,,2012-09-01,2015-08-31
+++,Adán David Ruiz Gutiérrez,,2012-09-01,2015-08-31
+++,Agustín Barrios Gómez Segues,,2012-09-01,2015-08-31
+++,Alberto Anaya,Q1984540,2012-09-01,2015-08-31
+++,Alberto Coronado Quintanilla,,2012-09-01,2015-08-31
+++,Alberto Curi Naime,,2012-09-01,2015-08-31
+++,Alberto Díaz Trujillo,,2012-09-01,2015-08-31
+++,Aleida Alavez Ruiz,Q5664630,2012-09-01,2015-08-31
+++,Alejandra Del Moral Vela,Q502055,2012-09-01,2015-08-31
+++,Alejandra López Noriega,Q16213395,2012-09-01,2015-08-31
+++,Alejandro Carbajal González,,2012-09-01,2015-08-31
---,Alejandro Juraidini Villaseñor,Q26996165,2015-08-29,2018-08-31
+++,Alejandro Moreno Cárdenas,Q5665275,2012-09-01,2015-08-31
+++,Alejandro Rangel Segovia,,2012-09-01,2015-08-31
+++,Alejandro Sánchez Camacho,Q5665530,2012-09-01,2015-08-31
+++,Alfonso Durazo Montaño,Q4722024,2012-09-01,2015-08-31
+++,Alfonso Inzunza Montoya,,2012-09-01,2015-08-31
+++,Alfonso Robledo Leal,Q16216040,2012-09-01,2015-08-31
+++,Alfredo Anaya Gudiño,,2012-09-01,2015-08-31
+++,Alfredo Rivadeneyra Hernández,,2012-09-01,2015-08-31
+++,Alfredo Zamora García,,2012-09-01,2015-08-31
+++,Alicia Ricalde Magaña,Q5399354,2012-09-01,2015-08-31
+++,Alliet Bautista Bravo,Q16197535,2012-09-01,2015-08-31
+++,Alma Jeanny Arroyo Ruiz,,2012-09-01,2015-08-31
+++,Amalia García,Q649731,2012-09-01,2015-08-31
+++,Amilcar Augusto Villafuerte Trujillo,,2012-09-01,2015-08-31
+++,Amira Gómez Tueme,Q5672701,2012-09-01,2015-08-31
+++,Ana Isabel Allende Cano,,2012-09-01,2015-08-31
+++,Ana Lilia Garza Cadena,,2012-09-01,2015-08-31
+++,Ana Paola López Birlain,Q72660617,2012-09-01,2015-08-31
+++,Andrés Eloy Martínez Rojas,,2012-09-01,2015-08-31
+++,Andrés de la Rosa Anaya,,2012-09-01,2015-08-31
+++,Angelina Carreño Mijares,Q16202094,2012-09-01,2015-08-31
+++,Angélica Rocío Melchor Vásquez,,2012-09-01,2015-08-31
+++,Antonio Astiazarán Gutiérrez,Q1519947,2012-09-01,2015-08-31
+++,Antonio Cuéllar Steffan,,2012-09-01,2015-08-31
+++,Antonio García Conejo,Q15303988,2012-09-01,2015-08-31
+++,Antonio Sansores Sastré,,2012-09-01,2015-08-31
+++,Antonio de Jesús Díaz Athié,,2012-09-01,2015-08-31
+++,Araceli Torres Flores,,2012-09-01,2015-08-31
+++,Areli Madrid Tovilla,,2012-09-01,2015-08-31
+++,Armando Contreras Ceballos,,2012-09-01,2015-08-31
+++,Arnoldo Ochoa González,Q4795351,2012-09-01,2015-08-31
+++,Arturo Cruz Ramírez,,2012-09-01,2015-08-31
+++,Arturo De la Rosa Escalante,Q16213737,2012-09-01,2015-08-31
+++,Aurora Denisse Ugalde Alegría,,2012-09-01,2015-08-31
+++,Aurora de la Luz Aguilar Rodríguez,,2012-09-01,2015-08-31
+++,Aída Fabiola Valencia Ramírez,,2012-09-01,2015-08-31
+++,Beatriz Eugenia Yamamoto Cazares,,2012-09-01,2015-08-31
+++,Beatriz Zavala Peniche,Q449329,2012-09-01,2015-08-31
+++,Benjamín Castillo Valdez,,2012-09-01,2015-08-31
+++,Blanca Estela Gómez Carmona,Q16194554,2012-09-01,2015-08-31
+++,Blanca Jiménez Castillo,,2012-09-01,2015-08-31
+++,Blanca Ma. Villaseñor Gudiño,,2012-09-01,2015-08-31
+++,Blas Ramón Rubio Lara,,2012-09-01,2015-08-31
+++,Brasil Acosta Peña,Q16146176,2012-09-01,2015-08-31
+++,Brenda María Izontli Alvarado Sánchez,,2012-09-01,2015-08-31
+++,Bárbara Romo Fonseca,,2012-09-01,2015-08-31
+++,Bénito Caballero Garza,,2012-09-01,2015-08-31
+++,Carla Alicia Padilla Ramos,,2012-09-01,2015-08-31
