@@,itemlabel,item,startdate,enddate
+++,Manuel José de Rojas,Q5993403,1825,1826
+++,Marcelo Rodríguez Bringas,,1826,1830
+++,José Ignacio Gutiérrez,Q5940532,1830,1832
+++,Emeterio Pineda,Q5830737,1830,1830
+++,¿?,Q11169,1830,1830
+++,Mauricio Curi,,1830,1830
+++,¿?,,1830,1830
+++,Joaquín Miguel Gutiérrez,Q5932240,1832,1832
+++,Emeterio Pineda,Q5830737,1832,1832
+++,Roberto Palazuelos,,1832,1833
+++,Rafael Rodríguez Leon,,1832,1832
+++,Manuel Escandón,,1832,1832
+++,Joaquín Miguel Gutiérrez,Q5932240,1833,1835
+++,Joaquín Miguel Gutiérrez,Q5932240,1833,1833
+++,Emeterio Pineda,Q5830737,1833,1833
+++,Mariano Montes de Oca,,1835,1836
+++,Ignacio Tovilla,,1835,1835
+++,Onofre Reyes,,1836,1836
+++,Salvador Piñeiro,,1836,1836
+++,Clemente Aceituno,,1836,1837
+++,José María Sandoval,,1837,1840
+++,José Diego Lara,Q5939216,1840,1841
+++,Salvador Ayanegui,,1841,1842
+++,Ignacio Barberena,,1842,1846
+++,Mariano Nicolás Ruíz,,1846,1847
+++,Jerónimo Cardona,Q5929473,1846-05-09,1846
+++,Jerónimo Cardona,Q5929473,1847,1848
+++,Jerónimo Cardona,Q5929473,1848,1848-05
+++,Fernando Nicolás Maldonado,,1848,1849
+++,Ponciano Solórzano del Barco,,1848,1848
+++,Manuel María Parada,,1848,1848
+++,Ramón Larraínzar,,1849,1850
+++,Fernando Nicolás Maldonado,,1850,1851
+++,Fernando Nicolás Maldonado,,1851,1853
+++,José Farrera,,1851,1851
+++,Domingo Ruíz Molina,Q25407149,1853,1853
+++,Fernando Nicolás Maldonado,,1853,1855
+++,Ángel Albino Corzo,Q6173031,1855,1856
+++,Ángel Albino Corzo,Q9098248,1856,1857
+++,Domingo Ruíz Molina,Q25407149,1856,1856
+++,Francisco Robles,,1857,1857
+++,Ángel Albino Corzo,Q9098248,1858,1858
+++,Matías Castellanos,,1858,1859
+++,Ángel Albino Corzo,Q9098248,1859,1861
+++,Ángel Albino Corzo,Q9098248,1861,1861
+++,Juan Clímaco Corzo,,1861,1863
+++,Juan Clímaco Corzo,,1861,1861
+++,José Gabriel Esquinca,,1863,1864
+++,José Pantaleón Domínguez,Q2919120,1864,1865
+++,¿?,,1866,1875
+++,José Mariano García,,1866,1866
+++,Moisés Rojas,,1875,1876
+++,Manuel Cerón,,1876,1876
+++,Eleuterio Villasana,,1876,1876
+++,Carlos Borda,,1876,1876
+++,Sebastián Escobar,Q3476928,1877,1878
+++,Sebastián Escobar,Q3476928,1877,1877
+++,Mariano Nicolás Ruíz,,1877,1877
+++,Diego Betanzos,,1877,1877
+++,Juan José Ramírez,,1878,1879
+++,Mariano Aguilar,Q95989873,1879,1879
+++,Miguel Utrilla,,1879,1883
+++,José María Ramírez,,1883,1886
