name,position
Adán Augusto López Hernández,Secretario de Gobernación
Tatiana Clouthier Carrillo,Secretaria de Economía
María Luisa Albores González,Secretaria de Medio Ambiente y Recursos Naturales
Jorge Arganis Díaz Leal,Secretario de Comunicaciones y Transportes
Rocío Nahle García,Secretaria de Energía
Víctor Villalobos Arámbula,Secretario de Agricultura y Desarrollo Rural
Alejandra Frausto Guerrero,Secretaria de Cultura
Román Meyer Falcón,"Secretario de Desarrollo Agrario, Territorial y Urbano"
Delfina Gómez Álvarez,Secretaria de Educación Pública
Marcelo Ebrard Casaubon,Secretario de Relaciones Exteriores
José Rafael Ojeda Durán,Secretario de Marina
Luis Cresencio Sandoval,Secretario de la Defensa Nacional
Jorge Alcocer Varela,Secretario de Salud
Luisa María Alcalde,Secretaria del Trabajo y Previsión Social
Miguel Torruco Marqués,Secretario de Turismo
Rosa Icela Rodríguez Velázquez,Secretaria de Seguridad y Protección Ciudadana
Rogelio Ramírez de la O,Secretario de Hacienda y Crédito Público
Roberto Salcedo Aquino,Secretario de la Función Pública
