item,itemLabel,startDate,endDate,psid
Q109911726,Victoria Rodríguez Ceja,2022-01-01,,Q109911726-f4cc3b46-4398-7fce-d110-6bb9b51a9023
Q328762,Miguel Mancera Aguayo,1994-04-01,1997-12-31,Q328762-8FA78FE0-D1AE-40B1-AF38-B127F23A3934
Q399129,Agustín Carstens,2010-01-01,2017-11-30,Q399129-293AB62C-B01A-41FC-BA01-C8B33616CB7A
Q44178650,Alejandro Díaz de León Carrillo,2017-12-01,2021-12-31,Q44178650-DA0B6392-8FCA-43B6-9461-D8EE762245CA
Q911058,Guillermo Ortiz Martínez,1998-01-01,2009-12-31,Q911058-D01972E4-77D4-443A-9676-328E591A2ACF
