item,itemLabel,startDate,endDate
,José Juan de Olloqui y Labastida,1993-07-23,1994-12-31
,Andrés Rozental Gutman,1994-12-25,1997-04-20
Q1415974,Santiago Oñate Laborde,1997-04-04,2001-02-20
,Alma Rosa Moreno Razo,2001-01-30,2004
Q5950176,Juan José Bremer,2004-01-08,2009-11-12
Q585491,Eduardo Medina-Mora Icaza,2009-12-12,2013-01-09
,Diego Gómez Pickering,2013-12-03,2016-04-20
Q24263691,Julián Ventura Valero,2017-03-07,2018-12-15
,Aureny Aguirre O. Sunza,2018-12-16,2021-04-22
Q57086668,Josefa González-Blanco Ortiz-Mena,2021-03-18,
