item,itemLabel,startDate,endDate
,Juan Francisco Urquidi,1921-02-26,1922-09-22
Q5663286,Alberto Mascareñas Navarro,1922-09-22,1924-10-29
,Gilberto Valenzuela Galindo,1925-09-23,1929-01-15
,Leopoldo Ortiz Liebich,1929-01-16,1932-08-07
,Alberto Mascareñas Navarro,1932-05-27,1934-01-20
,Javier Sánchez Mejorada,1934-01-17,1934-12-31
,Leónides Andrew Almazán,1935-01-01,1935-12-03
Q973929,Narciso Bassols,1936-01-01,1937-01-04
Q1258036,Primo Villa Michel,1937-02-01,1938-11-01
,Gustavo Luders de Negri,1938-05-13,1942-01-22
Q1647739,José Maximiliano Alfonso de Rosenzweig Díaz,1941-09-01,1946-02-15
,Federico Jiménez O’Farril,1945-11-01,1951-10-04
,Francisco de Asís de Icaza y León,1952-01-21,1955-04-15
,Gustavo Luders de Negri,1955-05-18,1957-07-16
,Pablo Campos Ortiz,1957-06-01,1960-05-16
,Gustavo Luders de Negri,1960-05-16,1960-12-22
,Antonio Armendariz Cárdenas,1960-09-01,1965-02-06
Q5819748,Eduardo Suárez Aránzolo,1965-03-01,1970-09-04
,Vicente Sánchez Gavito,1970-08-12,1973-07-25
Q5577283,Hugo B. Margáin,1973-07-01,1976-12-07
Q4283792,Manuel Tello Macías,1976-12-29,1979-06-15
,Héctor Cárdenas Rodríguez,1979-06-20,1980-01-13
,José Juan de Olloqui y Labastida,1979-11-08,1982-11-05
Q5865509,Francisco Cuevas Cancino,1983-01-18,1986-01-07
Q1703809,Jorge Eduardo Navarrete,1985-11-05,1989-03-21
Q823046,Bernardo Sepúlveda Amor,1989-01-17,1993-03-01
,José Juan de Olloqui y Labastida,1993-07-23,1994-12-31
,Andrés Rozental Gutman,1994-12-25,1997-04-20
Q1415974,Santiago Oñate Laborde,1997-04-04,2001-02-20
,Alma Rosa Moreno Razo,2001-01-30,2004
Q5950176,Juan José Bremer,2004-01-08,2009-11-12
Q585491,Eduardo Medina-Mora Icaza,2009-12-12,2013-01-09
,Diego Gómez Pickering,2013-12-03,2016-04-20
Q24263691,Julián Ventura Valero,2017-03-07,2018-12-15
,Aureny Aguirre O. Sunza,2018-12-16,2021-04-22
Q57086668,Josefa González-Blanco Ortiz-Mena,2021-03-18,
