item,itemLabel,startDate,endDate
Q6056353,Pablo Quiroga Escamilla,1934,1935-06-15
Q5481446,Andrés Figueroa Figueroa,1935-06-16,1936-10-17
Q315626,Manuel Ávila Camacho,1936-10-18,1939-01-31
Q2272113,Jesús Agustín Castro,1939-02-01,1940-11-30
Q2272113,Jesús Agustín Castro,1940-12-01,1942-08-31
Q296718,Lázaro Cárdenas,1942-09-01,1945-08-31
Q5483597,Francisco L. Urquizo,1945-09-01,1946-11-30
Q5879660,Gilberto R. Limón,1946-12-01,1952-11-30
Q6006701,Matías Ramos,1952-12-01,1958-11-30
Q2086596,Agustín Olachea,1958-12-01,1964-11-30
Q2244651,Marcelino García Barragan,1964-12-01,1970-11-30
Q5895821,Hermenegildo Cuenca Díaz,1970-12-01,1976-11-30
Q5872260,Félix Galván López,1976-12-01,1982-11-30
Q28816032,Juan Arévalo Gardoqui,1982-12-01,1988-11-30
Q5699534,Antonio Riviello Bazán,1988-12-01,1994-11-30
Q2889217,Enrique Cervantes Aguirre,1994-12-01,2000-11-30
Q2380760,Gerardo Clemente Vega,2000-12-01,2006-11-30
Q2646393,Guillermo Galván Galván,2006-12-01,2012-11-30
Q6117660,Salvador Cienfuegos Zepeda,2012-12-01,2018-11-30
Q59868274,Luis Cresencio Sandoval,2018-12-01,
