@@,itemlabel,item,startdate,enddate
+++,Pablo Quiroga Escamilla,Q6056353,1934,1935-06-15
+++,Andrés Figueroa Figueroa,Q5481446,1935-06-16,1936-10-17
+++,Manuel Ávila Camacho,Q315626,1936-10-18,1939-01-31
+++,Jesús Agustín Castro,Q2272113,1939-02-01,1940-11-30
+++,Jesús Agustín Castro,Q2272113,1940-12-01,1942-08-31
+++,Lázaro Cárdenas,Q296718,1942-09-01,1945-08-31
+++,Francisco L. Urquizo,Q5483597,1945-09-01,1946-11-30
+++,Gilberto R. Limón,Q5879660,1946-12-01,1952-11-30
->,Marcelino García Barragán->Marcelino García Barragan,Q2244651,1964-12-01,1970-11-30
->,Gerardo Clemente Ricardo Vega García->Gerardo Clemente Vega,Q2380760,2000-12-01,2006-11-30
->,Salvador Cienfuegos->Salvador Cienfuegos Zepeda,Q6117660,2012-12-01,2018-11-30
