item,name
,Pedro Armendáriz García
Q8204602,Armando Enríquez Flores
,Ernesto Ruiz Velazco
,Luis Xavier Maawad Robert
,Alma Hilda Medina Macías
,Rogelio Muñoz Serna
,Francisco Rueda Gómez
Q5831353,Emilio Ulloa Pérez
Q5812585,Dolores Manuell-Gómez Angulo
Q16197535,Alliet Bautista Bravo
,Héctor Manuel Ramos Covarrubias
Q5949968,Juan Hugo de la Rosa García
,Ricardo Franco Cázarez
,Alma Lilia Luna Munguía
Q2917944,Antonio Valladolid Rodríguez
,Jaime Espejel Lascano
,Alma Xóchitl Cardona Benavidez
,Luis Rodolfo Enríquez Martínez
,Martín González Morán
,Francisco Javier Paredes Rodríguez
,Alejandro Olivares
Q18209878,Mirna Rincón Vargas
Q5574061,Isael Villa Villa
,Juan Adolfo Orci Martínez
,Francisco Santos Arreola
,Víctor Manuel Lizárraga Peraza
,Raymundo Escamilla González
,Juan Darío Arreola Calderón
Q6165629,Víctor Manuel Méndez Lanz
,Juan Manuel San Martín Hernández
,Arturo Martínez Rocha
,Juan Victoria Alva
,Yari del Carmen Gebhardt Garduza
Q5699901,Antonio Soto Sánchez
,Víctor Ortíz del Carpio
,Rafael Villicaña García
,Elmar Díaz Solórzano
,Mario Vallejo Estévez
,Andrés Carballo Bustamante
Q5858171,Felipe Díaz Garibay
,Jorge Mario Lescieur Talavera
,Ramón Ceja Romero
,Héctor Narcía Álvarez
,Raúl Ríos Gamboa
,Fernel Gálvez Rodríguez
,Humberto Alonso Razo
,Arnulfo Cordero Alfonzo
,Susana Sarahí Carrasco Cárdenas
,Daniel Chávez García
Q5751070,Carlos Morales Vázquez
,Fausto Mendoza Maldonado
,Martín Ramos Castellanos
Q5941273,José Luis Espinosa Piña
Q5700611,Anuario Luis Herrera Solís
,Francisco Márquez Tinoco
,Antonio de Jesús Díaz Athié
,Irineo Mendoza Mendoza
Q5833807,Enrique Serrano Escobar
,Enrique Iragorri Durán
Q2746219,Lilia Merodio Reza
,Demetrio Romás Isidoro
Q5792375,Cruz Pérez Cuéllar
,Rafael Franco Melgarejo
,Octavio Fuentes Téllez
Q6165767,Víctor Valencia de los Santos
Q5937578,José Amado Orihuela Trejo
,Felipe González Ruiz
,José Víctor Sánchez Trujillo
Q5831093,Emilio Flores Domínguez
,Martha Rocío Partida Guzmán
,Sergio González García
Q5922865,Israel Beltrán Montes
,María Eugenia Jiménez Valenzuela
Q18209866,Carlos Reyes López
,Sergio Sandoval Paredes
Q959151,César Duarte Jáquez
,Martha Margarita García Müller
,Ángel Humberto García Reyes
,Jorge Luis De la Garza Treviño
Q982818,Rodrigo Medina de la Cruz
Q5927812,Javier Guerrero García
,José Luis Murillo Torres
,Rolando Rivero Rivero
,Gustavo Ramírez Villarreal
Q5929347,Jericó Abramo Masso
,Gustavo Caballero Camargo
,Carlos Augusto Bracho González
,Gloria Leticia González Rivera
,Juan Enrique Barrios Rodríguez
,Florentina Medrano Echeverría
Q5930807,Jesús de León Tello
Q5791574,Cristián Castaño Contreras
,Óscar Mohamar Dainitín
,Javier Zambrano Elizondo
Q5839670,Esmeralda Cárdenas Sánchez
,Ramón Salas López
Q6037076,Nabor Ochoa López
,Juan Manuel Villanueva Arjona
Q5675895,Andrés Lozano Lozano
Q5949594,Juan Francisco Rivera Bedoya
Q5927795,Javier González Garza
Q5951121,Juan Manuel Parás González
,Ramón Pacheco Llanes
,Daniel Dehesa Mora
,Lourdes Alonso Flores
,Víctor Manuel Virgen Carrera
Q6066619,Patricia Villanueva Abraján
Q9029045,Maricela Contreras Julián
,Daysi Hernández Gaytán
,María Elena Torres Baltazar
,Carlos Martínez Martínez
Q5855470,Juan N. Guerra
Q5749652,Carlos Altamirano Toledo
,Armando Barreiro Pérez
Q6112158,Rosa Elia Romero Guzmán
Q6161603,Victorio Montalvo Rojas
,Daniel Gurrión Matías
Q5936139,Jorge Toledo Luis
,María Gabriela González Martínez
,José Luis Verela Lagunas
,Víctor Hugo García Rodríguez
Q18249465,Othón Cuevas Córdova
Q5937515,José Alfonso Suárez del Real
,Benjamín Hernández Silva
,Pablo Trejo Pérez
,Joaquín de los Santos Molina
,Higinio Chávez García
Q18350877,Narciso Alberto Amador Leal
,Rosaura Virginia Denegre Vaught
Q5993789,Manuel Minjares Jiménez
,María Esther Jiménez Ramos
Q6158839,Valentina Batres Guadarrama
,José Guillermo Fuentes Ortiz
Q5664630,Aleida Alavez Ruiz
,Wenceslao Herrera Coyac
,David Mendoza Arellano
Q5701577,Apolonio Méndez Meneses
Q5687450,Silvia Oliva Fragoso
,Arturo Flores Grande
Q2890018,Efraín Morales Sánchez
,José Luis Contreras Coeto
Q5665530,Alejandro Sánchez Camacho
,Antonio Vasconcelos Rueda
Q3564466,Víctor Varela López
,Ernesto Javier Gómez Barrales
Q3560430,Violeta Lagunes Viveros
Q5658579,Adrián Pedrozo Castillo
,María del Carmen Parra Jiménez
,Moisés Gil Ramírez
Q5878421,Gerardo Villanueva Albarrán
,Alfonso Othón Bello Pérez
,Miguel Ángel Solares Chávez
Q5699926,Antonio Sánchez Díaz de Rivera
,José Luis Gutiérrez Calzadilla
,José Guillermo Velázquez Gutiérrez
,Guadalupe Flores Salazar
Q5935014,Jorge Estefan Chidiac
Q5983257,Luis Enrique Benítez Ojeda
,René Lezama Aradillas
Q16193634,Leticia Herrera Ale
,Guillermina López Balbuena
,Mario Mendoza Cortés
,José Rubén Escajeda Jiménez
,José Ignacio Rubio Chávez
Q18217955,Jorge Salum del Palacio
,Bibiana Rodríguez Montes
Q6436448,Francisco Domínguez Servien
,Francisco Javier Murillo Flores
,María de los Ángeles Jiménez del Castillo
Q6777838,Martín Stefanonni Mazzocco
Q5664950,Alejandro Delgado Oscoy
,Ernesto Oviedo Oviedo
Q3473275,Sara Latife Ruiz Chávez
,Margarita Arenas Guzmán
Q5819196,Eduardo Espinosa Abuxapqui
Q6174183,Éctor Jaime Ramírez Barba
Q6170217,Yolanda Garmendia Hernández
,Adriana Rodríguez Vizcarra
,Antonio Medellín Varela
,Jaime Verdin Saldaña
,Agustón Leura González
,Antonio Vega Corona
,Enrique Rodríguez Uresti
,Marcela Cuen Garibi
,David Lara Compeán
,Artemio Torres Gómez
,Beatriz Eugenia García Reyes
,Ramón Landeros González
,Silvia Emilia Degante Romero
,Rubí Laura López Silva
,José Guadalupe Rivera Rivera
,Ramón Lemus Muñoz Ledo
,Mayra Gisela Peñuelas Acuña
,Martín Malagon Ríos
Q18344207,Gerardo Vargas Landeros
,Efraín Peña Damacio
,Daniel Torres García
,Gilberto Ojeda Camacho
,Modesto Brito González
,Ramón Barajas López
,Secundino Catarino Crispín
,Amador Campos Aburto
Q5819514,Eduardo Ortiz Hernández
,Ramón Almonte Borja
,Daniel Amador Gaxiola
,Víctor Aguirre Alcaide
,Jesús Manuel Patrón Montalvo
,Marco Matías Alonso
,Carlos Felton González
,Octavio Adolfo Klimek Alcaráz
Q18217956,Carlos Sánchez Barrios
,José Inés Palafox Núñez
,Odilón Romero Gutiérrez
,Carlos Alberto Navarro Sugich
Q17274566,César Flores Maldonado
Q18350779,Luis Serrato Castell
,Joel Guerrero Juárez
,Salvador Sánchez Peñuelas
Q5752151,Carlos Zatarain González
,José Edmundo Ramírez Martínez
,Luis Fernando Rodríguez Ahumada
,Sergio Hernández Hernández
,Armando Félix Holguín
Q6004390,María Oralia Vega Ortiz
,Gustavo Mendívil Amparán
,Fernando Quetzalcoatl Moctezuma Pereda
,Rafael Sánchez Cabrales
Q5798497,Daniel Ludlow Kuri
,Francisco Sánchez Ramos
,Miguel Ángel Peña Sánchez
Q6020665,Moisés Dagdug Lützow
Q18347687,Gustavo Macías Zambrano
Q3069498,Fernando Mayans Canabal
,Martha Angélica Romo Jiménez
,Silbestre Álvarez Ramón
,José Antonio Muñoz Serrano
Q18378698,Mónica Fernández Balboa
,Jorge Quintero Bello
Q5902370,Horacio Garza Garza
,Leobardo Curiel Preciado
,Raúl García Vivían
,Joel Arellano Arellano
,Omeheira López Reyna
,Carlos René Sánchez Gil
Q16213521,Carlos Alberto García González
,Miguel Ángel Monraz Ibarra
,Miguel Ángel González Salum
,Fabián Montes Sánchez
Q5833206,Enrique Cárdenas del Avellano
,Omar Borboa Becerra
,Beatriz Collado Lara
,Alonso Lizaola de la Torre
,Luis Alonso Mejía García
,Mario Moreno Álvarez
,María Guadalupe Salazar Anaya
,José Alejandro Aguilar López
,José de Jesús Solano Muñoz
,María Ofelia Malcos Alfaro
,Adolfo Escobar Jardinez
,José Gildardo Guerrero Torres
,Alberto Amaro Corona
,Gerardo Amezola Fonceca
,Pedro Pulido Pecero
,Francisco Javier Plascencia Alonso
Q18356788,María del Carmen Pinete Vargas
,Francisco Javier Gudiño Ortiz
,Antonio Laviada Hernández
,José Nicolás Morales Ramos
,Mercedes Morales Utrera
Q6173109,Ángel Deschamps Falcón
Q6117631,Salvador Barajas del Toro
,Antonio del Valle Toca
Q18249288,Jesús Alcántara Núñez
Q6293079,José Manuel del Río Virgen
,Juan Abad de Jesús
,María de Jesús Martínez Díaz
