ordinal,item,itemLabel,inception,inceptionPrecision,startTime,startTimePrecision,abolished,abolishedPrecision,endTime,endTimePrecision,replaces,replacesLabel,replacedBy,replacedByLabel,follows,followsLabel,followedBy,followedByLabel
,Q980066,Cabinet of Gustavo Díaz Ordaz,,,1964-12-01,11,,,1970-11-30,11,,,Q3112248,Cabinet of Luis Echeverría Álvarez,,,,
,Q3112248,Cabinet of Luis Echeverría Álvarez,1970-12-01,11,,,1976-11-30,11,,,Q980066,Cabinet of Gustavo Díaz Ordaz,,,,,,
,Q631106,Cabinet of Miguel de la Madrid,,,1982-12-01,11,1988-11-30,11,,,,,Q3111947,Cabinet of Carlos Salinas de Gortari,,,,
,Q3111947,Cabinet of Carlos Salinas de Gortari,,,1988-01-01,9,1994-01-01,9,,,Q631106,Cabinet of Miguel de la Madrid,,,,,,
,Q3112038,cabinet of Ernesto Zedillo,1994-01-01,9,1994-01-01,9,,,2000-01-01,9,,,,,,,,
,Q3112047,cabinet of Felipe Calderón,2006-01-01,9,2006-01-01,9,,,2012-01-01,9,,,Q276786,Cabinet of Enrique Peña Nieto,,,,
,Q276786,Cabinet of Enrique Peña Nieto,2012-12-01,11,,,2018-11-30,11,,,Q3112047,cabinet of Felipe Calderón,Q55346398,Presidency of Andrés Manuel López Obrador,,,,
,Q55346398,Presidency of Andrés Manuel López Obrador,2018-12-01,11,,,,,,,Q276786,Cabinet of Enrique Peña Nieto,,,,,,
