item,name,startDate,endDate,psid
Q1047419,José Guadalupe Osuna Millán,2003-09-01,2006-08-30,Q1047419-BD98AC04-00F8-405D-8A6E-81B8A526EDD4
Q111518781,Gonzalo Guízar Valladares,2003-09-01,2006-08-30,Q111518781-C99D4685-9AFA-4390-9D87-B2CEB8F12001
Q111520220,Elpidio Concha Arellano,2003-09-01,2006-08-30,Q111520220-996156DE-F0DF-418D-8473-76F34425B0DD
Q111520280,María Hilaria Domínguez Arvizu,2003-09-01,2006-08-30,Q111520280-604C5EA0-1855-43E0-BE0A-E7BC0916376F
Q111520284,Maximino Alejandro Fernández Ávila,2003-09-01,2006-08-30,Q111520284-831737A3-4A4B-4FB3-81CE-4DBE58FA9DEE
Q111520299,Víctor Flores Morales,2003-09-01,2006-08-30,Q111520299-7BAC4667-ED43-4622-BE71-1DC40B5444E1
Q111521959,Abdallán Guzmán Cruz,2003-09-01,2006-08-30,Q111521959-F354E93C-4A96-41FD-B551-11A88FF5D251
Q111521960,Agustín Rodríguez Fuentez,2003-09-01,2006-08-30,Q111521960-6839021E-9007-4EE0-ABD2-82DDDA204384
Q111521961,Alberto Méndez Gálvez,2003-09-01,2006-08-30,Q111521961-285C79FE-5005-4057-A4EB-50853115D2D5
Q111521962,Alejandra Méndez Solorio,2003-09-01,2006-08-30,Q111521962-079CF822-5D3A-4AFF-B9EF-E80E77F0E372
Q111521963,Alfonso Nava Díaz,2003-09-01,2006-08-30,Q111521963-A72F9A7B-7EA6-4B55-81B7-44C154DF7161
Q111521964,Alfonso Sánchez Hernández,2003-09-01,2006-08-30,Q111521964-D90AC8D4-770F-4BE8-89C8-747D3BD3C333
Q111521966,Armando Neira Chávez,2003-09-01,2006-08-30,Q111521966-9C563B0E-70D9-431C-B65D-AB568C890AD5
Q111521968,Arturo Nahle García,2003-09-01,2006-08-30,Q111521968-510F0C2C-1C31-46FA-9FB3-E6FC26F4D784
Q111521969,Belisario Herrera Solís,2003-09-01,2006-08-30,Q111521969-A36358EA-3E5B-4E31-A2D9-D688A529090C
Q111521970,Benjamín Sagahón Medina,2003-09-01,2006-08-30,Q111521970-314EE908-FF41-436D-B986-4D1F39F0B997
Q111521971,Carlos Tiscareño Rodríguez,2003-09-01,2006-08-30,Q111521971-E7263CCB-DCFA-4D93-8B8A-2C53EC1B4FE7
Q111521972,Carmen Guadalupe Fonz Sáenz,2003-09-01,2006-08-30,Q111521972-674E3D72-67A0-4CEB-ABFB-98BF3E2A3F99
Q111521973,Ciro García Marín,2003-09-01,2006-08-30,Q111521973-4CD4486D-3ABC-49E9-AF8D-1354735994C9
Q111521974,Concepción Olivia Castañeda Ortiz,2003-09-01,2006-08-30,Q111521974-90EECE30-35B7-4115-93CA-9D31307E65FD
Q111521975,Consuelo Camarena Gómez,2003-09-01,2006-08-30,Q111521975-ED60B46D-974D-46FF-A1C7-A0ECB379DEBE
Q111521976,César González Orantes,2003-09-01,2006-08-30,Q111521976-EABF179C-EEC7-48A1-901F-BC56E7B46DB4
Q111521977,Edelmira Gutiérrez Ríos,2003-09-01,2006-08-30,Q111521977-B3CA1B61-CF45-4535-9784-0FD084C91219
Q111521978,Edith Guillén Zárate,2003-09-01,2006-08-30,Q111521978-D83C2CB8-71EC-4CDF-B017-C8919377F42D
Q111521979,Eduardo Olmos Castro,2003-09-01,2006-08-30,Q111521979-EA809BCB-12E2-4C4D-A5D6-701231236AC6
Q111521980,Erick Agustín Silva Santos,2003-09-01,2006-08-30,Q111521980-A1256974-AF91-45D8-BBC6-CC91CADEB78E
Q111521982,Esther Ortiz Domínguez,2003-09-01,2006-08-30,Q111521982-125F871D-8AE5-48BD-A2B3-72F9D38A9306
Q111521983,Fernando Adame de León,2003-09-01,2006-08-30,Q111521983-F443221F-249F-470A-BE0A-F1D2E2DA3517
Q111521984,Fernando Guzmán Pérez Peláez,2003-09-01,2006-08-30,Q111521984-B8501092-9C3A-4A2C-BD13-30E331BA8210
Q111521985,Filemón Arcos Suárez Peredo,2003-09-01,2006-08-30,Q111521985-70387390-7B21-4E38-A84D-FE6810A0A520
Q111521986,Francisco Bravo Carbajal,2003-09-01,2006-08-30,Q111521986-7ADC19C1-4A17-40D6-B16B-E8AA90AE0248
Q111521987,Francisco Filizola Haces,2003-09-01,2006-08-30,Q111521987-6F58F7A7-C087-47F7-9808-0A321AC5F14C
Q111521988,Francisco Juan Ávila Camberos,2003-09-01,2006-08-30,Q111521988-D0C4D98F-1940-4F1F-BB13-EECD79F71674
Q111521989,Francisco Landero Gutiérrez,2003-09-01,2006-08-30,Q111521989-2C581577-337E-4E5A-A085-4916222DF89F
Q111521990,Francisco Xavier Alvarado Villazón,2003-09-01,2006-08-30,Q111521990-DACFEA78-AC57-4B7F-8467-75A113645ADF
Q111521991,Gema Isabel Martínez López,2003-09-01,2006-08-30,Q111521991-F9C6ADFE-BACF-4E60-B28B-B07CA9F07767
Q111521993,Guadalupe Mendivil Morales,2003-09-01,2006-08-30,Q111521993-BDE579A3-6FA7-422D-8152-E4AFBE4B5DAD
Q111521994,Guillermo Huiza Carranza,2003-09-01,2006-08-30,Q111521994-41BE1179-EEE5-4B2F-8646-D2A84F8FCBAC
Q111521996,Gustavo Zanatta Gasperín,2003-09-01,2006-08-30,Q111521996-2F5E7EB0-08BB-44BF-B36C-89A634079C31
Q111521997,Horacio Lujambio Moreno,2003-09-01,2006-08-30,Q111521997-2B0B0C70-83FC-4C36-A62F-901E58121DF8
Q111521998,Huberto Aldaz Hernández,2003-09-01,2006-08-30,Q111521998-9065F4EC-317E-4EFF-A6EC-94BA150EF3C0
Q111521999,Humberto Martínez de la Cruz,2003-09-01,2006-08-30,Q111521999-94FF9497-C634-459A-91D9-546528E6552F
Q111522000,Irene Álvarez Ramos,2003-09-01,2006-08-30,Q111522000-0CF72802-4998-4790-B2C9-0E7A641C34F6
Q111522001,Israel Tentory García,2003-09-01,2006-08-30,Q111522001-FD716C82-7898-4A63-8FB3-312CC478DF98
Q111522002,Jacqueline Guadalupe Arguelles Guzmán,2003-09-01,2006-08-30,Q111522002-6595B759-0A10-445F-AF1D-B81766C3F396
Q111522003,Javier Galván Guerrero,2003-09-01,2006-08-30,Q111522003-F9544DF9-AEA3-4CCD-9464-5F304AD21E4C
Q111522004,Javier Villicaña Jiménez,2003-09-01,2006-08-30,Q111522004-55C86973-52E1-40BC-992D-C2B92A5F6FE1
Q111522005,Jesús Lomelí Rosas,2003-09-01,2006-08-30,Q111522005-D096CCCC-0A39-47D8-B817-2E24B27CE35F
Q111522006,Jorge Utrilla Robles,2003-09-01,2006-08-30,Q111522006-EA6018BD-E02D-4B87-9484-489728BEA0DA
Q111522007,José Antonio Cabello Gil,2003-09-01,2006-08-30,Q111522007-5C61E2F6-8D91-4AC0-AA66-E58DE31A61B8
Q111522008,José Carmen Arturo Alcántara Rojas,2003-09-01,2006-08-30,Q111522008-B9D737B8-BDEC-42CC-9651-A83F01BFA97E
Q111522009,José Eduviges Nava,2003-09-01,2006-08-30,Q111522009-242F38EE-B4E0-4B04-8FB3-A6488DD3B44A
Q111522010,José Javier Osorio Salcido,2003-09-01,2006-08-30,Q111522010-5EEF433F-AB3F-439F-A007-EA6ADE300CE4
Q111522011,José Juan Bárcenas González,2003-09-01,2006-08-30,Q111522011-4CA0B1C4-7C84-4B52-B955-44738A434577
Q111522013,José Luis Mazoy Kuri,2003-09-01,2006-08-30,Q111522013-42FD7489-6912-4AF7-8BA1-9438CA5BABAB
Q111522014,José Luis Medina Lizalda,2003-09-01,2006-08-30,Q111522014-86387CBE-FA8E-46FD-BE5B-39D457312B1D
Q111522016,José Luis Tapia Palacios,2003-09-01,2006-08-30,Q111522016-07BF2EF1-0284-4870-9FCB-881425D9708F
Q111522017,José Mario Wong Pérez,2003-09-01,2006-08-30,Q111522017-2CCFCE94-8B73-4F34-8D37-59FD54D2D0E8
Q111522019,José María de la Vega Larraga,2003-09-01,2006-08-30,Q111522019-B6CA8A3B-71F3-4FF2-B860-12208F2E6098
Q111522020,José Orlando Pérez Moguel,2003-09-01,2006-08-30,Q111522020-F003A02D-5970-41F0-B791-476C4928CC2B
Q111522021,José Ángel Ibáñez Montes,2003-09-01,2006-08-30,Q111522021-069A99BC-662A-4E7C-9C42-EBC31F64A743
Q111522023,Leticia Userralde Gordillo,2003-09-01,2006-08-30,Q111522023-63FF8631-2281-4E88-AAF0-EA60279DB794
Q111522024,Lino Celaya Luria,2003-09-01,2006-08-30,Q111522024-A3CF5E47-9E41-45DC-A190-5CAC05CFFE97
Q111522025,Luz María Hernández Becerril,2003-09-01,2006-08-30,Q111522025-6C71034C-2837-4502-AF6F-B17B43204E5C
Q111522026,Ma. Guadalupe García Velasco,2003-09-01,2006-08-30,Q111522026-88EF70A6-1699-489D-9340-892F683D44DD
Q111522027,Manuel González Reyes,2003-09-01,2006-08-30,Q111522027-F32FA0C1-94C7-4913-9B29-BFE88B66B422
Q111522028,Manuel Gómez Morín Martínez del Río,2003-09-01,2006-08-30,Q111522028-DE859D1B-69B0-4160-8121-A7002BFC20AB
Q111522030,Manuel Ignacio López Villarreal,2003-09-01,2006-08-30,Q111522030-2D6504EE-33C2-4CC6-BF69-DE9A63BF3D8F
Q111522031,Manuel de Jesús de la Cruz Ramírez,2003-09-01,2006-08-30,Q111522031-3C78DE1F-8AFE-4611-9ABE-6F426E83DB52
Q111522032,Mario Culebro Velasco,2003-09-01,2006-08-30,Q111522032-2668A13A-60E2-4144-A705-0A3BD7CAE4F5
Q111522033,Mario Dávila Aranda,2003-09-01,2006-08-30,Q111522033-8484A4FE-1C47-4E6D-8C89-D741E70671DD
Q111522034,María Concepción Fajardo Muñoz,2003-09-01,2006-08-30,Q111522034-90CA916E-C53E-45EC-B3E7-65AA40252F82
Q111522035,María Elba Garfias,2003-09-01,2006-08-30,Q111522035-6D26A885-820B-4B33-85DC-550E8E7CF65A
Q111522036,María Eugenia Castillo,2003-09-01,2006-08-30,Q111522036-8AE887BC-827F-4F16-8E2B-DB04C41137EC
Q111522037,María Guadalupe Morales Rubio,2003-09-01,2006-08-30,Q111522037-D7DF5EEA-97A0-4CDF-BFC9-CE7830D1935F
Q111522038,María Guadalupe Suárez Ponce,2003-09-01,2006-08-30,Q111522038-34907589-A3EA-4BC5-A4D3-46FDA70AC83E
Q111522039,María Viola Corella Manzanilla,2003-09-01,2006-08-30,Q111522039-CA423629-3733-4FF6-ADBF-D9FF593CEE93
Q111522040,María de la Luz Arias Staines,2003-09-01,2006-08-30,Q111522040-E8262529-3B97-4A55-B320-C2E03590FC5B
Q111522041,María del Carmen Escudero Fraire,2003-09-01,2006-08-30,Q111522041-7C65FC60-8102-4CD9-BADB-6A3EBC3B2FE9
Q111522042,María del Consuelo Rodríguez de Alba,2003-09-01,2006-08-30,Q111522042-82FA9CF9-E62B-484A-839F-5540931B1A42
Q111522043,Modesta Vázquez Vázquez,2003-09-01,2006-08-30,Q111522043-429DB81C-568B-4A4C-B385-B89FA5AE2557
Q111522044,Myriam Arabian Couttolenc,2003-09-01,2006-08-30,Q111522044-E99C9032-4D6D-4654-B661-390B9E0FAD77
Q111522046,Nancy Cárdenas Sánchez,2003-09-01,2006-08-30,Q111522046-11820BDA-5120-427D-81F6-0F0F8F165F04
Q111522047,Norberto Corella Torres,2003-09-01,2006-08-30,Q111522047-2E7B1244-013A-4581-8BEC-F4AF593938B3
Q111522048,Norma Dávila Salinas,2003-09-01,2006-08-30,Q111522048-BCB48E47-CA53-48C8-ACE2-61BDE40C22C8
Q111522049,Norma Rodríguez Guardado,2003-09-01,2006-08-30,Q111522049-AF31D519-1122-4BF6-871C-2045B026E3DE
Q111522050,Norma Saucedo Moreno,2003-09-01,2006-08-30,Q111522050-08FACCD6-170C-4170-B042-282D3B8B9E3F
Q111522051,Pablo López Núñez,2003-09-01,2006-08-30,Q111522051-29ADE2DF-94BB-4C32-AB1B-85F95A3EC549
Q111522052,Pablo Villanueva Ramírez,2003-09-01,2006-08-30,Q111522052-CD5D0DBB-0AED-4128-887F-4D0907593D71
Q111522053,Pascual Sigala Páez,2003-09-01,2006-08-30,Q111522053-F38F607C-8D9E-4927-90BE-AF55F2F1250C
Q111522054,Patricia Garduño Morales,2003-09-01,2006-08-30,Q111522054-3E5ECF89-1C6F-40E7-A787-FAB45B0876E0
Q111522055,Patricia Retamoza Vega,2003-09-01,2006-08-30,Q111522055-AAA51B1B-DCFF-4A51-B36D-D2DAA971B2A9
Q111522056,Porfirio Alarcón Hernández,2003-09-01,2006-08-30,Q111522056-8802879C-53E0-4394-841C-580D65CAD5B6
Q111522057,Rafael Genaro Ranero Barrera,2003-09-01,2006-08-30,Q111522057-6C3E8E2A-26FD-496A-B518-2B01BB122D41
