@@,itemlabel,item,startdate,enddate
->,Aarón Irízar López->Aarón Irizar López,Q16145313,2009-09-01,2012-08-31
+++,Adolfo Rojo Montoya,,2009-09-01,2012-08-31
+++,Adriana Fuentes Cortés,,2009-09-01,2012-08-31
+++,Adriana Sarur Torre,,2009-09-01,2012-08-31
+++,Adriana de Lourdes Hinojosa Céspedes,,2009-09-01,2012-08-31
+++,Agustín Castilla Marroquín,,2009-09-01,2012-08-31
+++,Alba Leonila Médenez Herrera,,2009-09-01,2012-08-31
->,Alejandra Noemí Reynoso Sánchez->Alejandra Reynoso Sánchez,Q19519252,2009-09-01,2012-08-31
+++,Alejandro Bahena Flores,,2009-09-01,2012-08-31
+++,Alejandro Carabias Icaza,,2009-09-01,2012-08-31
+++,Alejandro del Mazo Maza,,2009-09-01,2012-08-31
+++,Alfredo Francisco Lugo Oñate,,2009-09-01,2012-08-31
+++,Alfredo Javier Rodríguez Dávila,,2009-09-01,2012-08-31
+++,Alicia Elizabeth Zamora Villalva,,2009-09-01,2012-08-31
->,Alma Carolina Viggiano Austria->Carolina Viggiano Austria,Q5669529,2009-09-01,2012-08-31
+++,Amador Monroy Estrada,,2009-09-01,2012-08-31
+++,Ana Elia Paredes Arciga,,2009-09-01,2012-08-31
+++,Ana Estela Durán Rico,,2009-09-01,2012-08-31
+++,Ana Luz Lobato Ramírez,,2009-09-01,2012-08-31
+++,Ana María Rojas Ruiz,,2009-09-01,2012-08-31
+++,Andrés Aguirre Romero,,2009-09-01,2012-08-31
+++,Andrés Massieu Fernández,,2009-09-01,2012-08-31
+++,Anel Patricia Nava Pérez,,2009-09-01,2012-08-31
->,Angélica del Rosario Araujo Lara->Angélica Araujo Lara,Q4764311,2009-09-01,2012-08-31
+++,Antonio Benítez Lucho,,2009-09-01,2012-08-31
+++,Ardelio Vargas Fosado,,2009-09-01,2012-08-31
+++,Armando Corona Rivera,,2009-09-01,2012-08-31
+++,Armando Jesús Báez Pinal,,2009-09-01,2012-08-31
+++,Arturo García Portillo,,2009-09-01,2012-08-31
+++,Arturo Ramírez Bucio,,2009-09-01,2012-08-31
+++,Arturo Santana Alfaro,,2009-09-01,2012-08-31
+++,Aránzazu Quintana Padilla,,2009-09-01,2012-08-31
->,Balfre Vargas Cortéz->Balfre Vargas Cortez,Q5717242,2009-09-01,2012-08-31
