item,itemLabel,startDate,endDate
Q5697776,Antonio Arámbula López,2009-09-01,2012-08-31
,Héctor Hernández Silva,2009-09-01,2012-08-31
,David Hernández Vallín,2009-09-01,2012-08-31
,Miguel Ángel Terrón Mendoza,2009-09-01,2012-08-31
Q5399036,Raúl Cuadra García,2009-09-01,2012-08-31
,Sergio Octavio Germán Olivares,2009-09-01,2012-08-31
,Sergio Tolento Hernández,2009-09-01,2012-08-31
,Héctor Pedroza Jiménez,2009-09-01,2012-08-31
Q5866241,Francisco Javier Orduño Valdez,2009-09-01,2012-08-31
,Omar Rodríguez Cisneros,2009-09-01,2012-08-31
Q5796295,César Mancillas Amador,2009-09-01,2012-08-31
,Blanca Juana Soria Morales,2009-09-01,2012-08-31
Q5878780,Germán Osvaldo Cortez Sandoval,2009-09-01,2012-08-31
Q5930153,Jesús Gerardo Cortez Mendoza,2009-09-01,2012-08-31
,Miguel Ángel Luna Munguía,2009-09-01,2012-08-31
Q5876221,Gastón Luken Garza,2009-09-01,2012-08-31
,Eduardo Yáñez Montaño,2009-09-01,2012-08-31
Q6013888,Miguel Antonio Osuna Millán,2009-09-01,2012-08-31
,José Luis Velasco Lino,2009-09-01,2012-08-31
Q5941558,José Luis Ovando Patrón,2009-09-01,2012-08-31
,Fernando Ferreyra Olivares,2009-09-01,2012-08-31
Q6174861,Óscar Martín Arce Paniagua,2009-09-01,2012-08-31
,Guillermina Casique Vences,2009-09-01,2012-08-31
,Silvia Puppo Gastelum,2009-09-01,2012-08-31
Q3290208,Marcos Alberto Covarrubias Villaseñor,2009-09-01,2012-08-31
,Israel Reyes Ledesma Magaña,2009-09-01,2012-08-31
Q6165612,Víctor Manuel Castro Cosío,2009-09-01,2012-08-31
Q5992508,Manuel Cadena Morales,2009-09-01,2012-08-31
,Carlos Oznerol Pacheco Castro,2009-09-01,2012-08-31
,Andrés Aguirre Romero,2009-09-01,2012-08-31
,Óscar Román Rosas González,2009-09-01,2012-08-31
,Ignacio Rubí Salazar,2009-09-01,2012-08-31
Q5948400,Juan Carlos López Fernández,2009-09-01,2012-08-31
