position,title
Q628004,President
Q57077943,Secretary of Agriculture
Q110005388,Secretary for Communication and Transport
Q99523793,Secretary of Culture
Q103990866,Secretary of Economy
Q105531113,Secretary of Education
Q28973041,Secretary of Energy
Q110005367,Secretary for the Environment and Natural Resources
Q52412845,Secretary of Finance and Public Credit
Q7444306,Secretary of Foreign Affairs
Q65640440,Secretary of Government
Q99677656,Secretary of Health
Q99734927,Secretary of Health and Assistance
Q110005377,Secretary for Labour and Social Affairs
Q65768002,Secretary of National Defense
Q99744185,Secretary of Navy
Q110005356,Secretary for Public Service
Q110005292,Secretary of Security and Citizen Protection
Q28973023,Secretary of Tourism
Q110005328,Secretary for Urban Development
Q52413052,Secretary of Welfare
Q60678925,Attorney General
Q6085556,President of the Chamber of Deputies
Q60824201,President of the Senate
Q110006236,Governor of the Bank of Mexico
